Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Probability
1,0,13.0,0,3,0,1,1,0.0,0.0,55.0,38,1
1,4,9.0,0,3,0,1,1,0.0,0.0,60.0,38,0
1,3,10.0,2,12,4,1,1,0.0,0.0,40.0,38,1
1,3,3.0,2,6,4,1,1,0.0,0.0,40.0,25,0
0,3,11.0,2,7,4,1,1,0.0,0.0,40.0,32,0
1,3,9.0,2,0,4,1,1,0.0,0.0,48.0,38,0
0,3,9.0,2,6,4,1,1,5013.0,0.0,40.0,38,0
0,3,13.0,2,11,4,1,1,2407.0,0.0,40.0,38,0
1,3,9.0,2,13,4,1,1,0.0,0.0,40.0,38,0
1,3,16.0,2,9,4,1,1,0.0,0.0,45.0,38,1
0,3,10.0,0,12,0,1,1,0.0,0.0,58.0,38,0
0,3,9.0,2,2,4,1,1,0.0,0.0,40.0,38,0
0,3,10.0,0,0,0,1,0,0.0,0.0,40.0,38,0
1,3,9.0,2,0,5,1,0,0.0,0.0,40.0,38,1
1,4,10.0,2,3,4,1,1,0.0,0.0,50.0,38,1
0,3,10.0,4,9,3,1,1,0.0,0.0,32.0,38,0
0,3,13.0,5,11,3,0,0,0.0,0.0,40.0,38,0
0,5,13.0,2,11,4,1,1,0.0,0.0,70.0,38,1
0,3,10.0,4,6,0,1,1,0.0,0.0,40.0,38,0
1,3,10.0,2,9,2,1,1,0.0,0.0,20.0,38,0
0,3,9.0,4,7,3,1,1,0.0,0.0,40.0,25,0
1,3,12.0,2,0,4,1,1,0.0,0.0,40.0,38,0
0,3,7.0,4,7,3,1,0,0.0,0.0,22.0,38,0
0,1,4.0,2,4,4,1,1,0.0,0.0,40.0,38,0
0,3,9.0,4,11,0,1,1,0.0,0.0,30.0,38,0
1,3,13.0,2,7,4,1,1,0.0,0.0,40.0,4,0
1,3,9.0,2,7,5,1,0,0.0,0.0,40.0,38,0
1,3,9.0,2,11,4,1,1,0.0,0.0,48.0,38,0
1,3,9.0,0,2,0,1,0,14344.0,0.0,40.0,38,1
1,3,9.0,0,11,3,1,0,0.0,0.0,35.0,38,0
1,1,9.0,2,10,4,1,1,0.0,0.0,40.0,38,1
0,3,14.0,2,9,4,1,1,0.0,0.0,50.0,38,0
0,3,5.0,4,11,0,1,1,0.0,0.0,40.0,38,0
1,0,16.0,4,9,0,1,0,0.0,0.0,50.0,38,1
1,3,11.0,2,9,4,1,1,0.0,0.0,40.0,38,0
0,3,10.0,0,2,1,1,0,0.0,0.0,40.0,38,0
0,3,10.0,0,6,1,0,0,0.0,0.0,25.0,38,0
0,1,13.0,2,10,4,1,1,0.0,0.0,40.0,38,1
0,1,10.0,4,5,0,1,1,0.0,0.0,50.0,38,0
1,5,16.0,2,9,4,1,1,0.0,1902.0,60.0,38,1
0,3,10.0,2,11,4,1,1,0.0,0.0,48.0,38,1
1,3,12.0,0,3,1,1,0,0.0,0.0,40.0,8,0
0,0,9.0,4,7,3,0,1,0.0,0.0,40.0,38,0
1,3,14.0,2,3,4,1,1,0.0,0.0,40.0,38,1
1,3,13.0,2,3,4,1,1,15024.0,0.0,60.0,38,1
1,5,14.0,4,9,0,1,0,0.0,0.0,50.0,38,0
0,3,10.0,4,12,3,1,0,0.0,0.0,40.0,38,0
0,3,9.0,4,2,0,1,1,0.0,0.0,40.0,38,0
0,4,9.0,2,2,4,1,1,7688.0,0.0,40.0,38,1
0,3,7.0,4,5,3,1,1,0.0,0.0,40.0,38,0
0,1,9.0,4,0,0,1,0,0.0,0.0,40.0,38,0
1,3,9.0,2,5,4,1,1,0.0,0.0,40.0,38,0
0,3,13.0,4,11,2,1,1,0.0,0.0,40.0,38,0
0,3,15.0,2,9,4,1,1,0.0,0.0,40.0,38,1
1,5,9.0,2,7,4,1,1,0.0,1887.0,50.0,1,1
0,3,10.0,2,11,5,1,0,4064.0,0.0,25.0,38,0
0,3,9.0,4,6,3,1,0,0.0,0.0,40.0,38,0
1,3,5.0,2,5,4,1,1,0.0,0.0,50.0,38,0
1,4,10.0,2,11,4,1,1,0.0,0.0,50.0,38,0
1,1,11.0,2,2,4,0,1,0.0,0.0,40.0,38,1
1,3,10.0,2,11,4,1,1,0.0,0.0,56.0,38,0
0,3,9.0,4,2,0,1,1,0.0,0.0,41.0,38,0
0,3,10.0,4,7,3,1,0,0.0,0.0,40.0,38,0
1,3,13.0,2,3,4,1,1,0.0,0.0,60.0,38,0
0,3,13.0,4,3,3,0,1,0.0,0.0,40.0,10,0
0,6,13.0,2,9,4,1,1,0.0,0.0,50.0,38,1
0,3,10.0,4,7,3,0,1,0.0,0.0,35.0,38,0
1,3,13.0,2,3,5,1,0,0.0,0.0,40.0,38,1
0,3,10.0,4,0,3,1,0,0.0,1719.0,28.0,38,0
0,3,12.0,2,0,4,1,1,0.0,0.0,40.0,38,1
0,3,10.0,0,2,0,1,1,0.0,0.0,40.0,38,0
0,3,12.0,4,11,0,1,0,0.0,0.0,60.0,38,0
0,3,9.0,4,7,0,1,0,0.0,1762.0,40.0,38,0
0,5,9.0,2,2,4,1,1,4386.0,0.0,35.0,38,0
0,3,13.0,2,11,4,1,1,0.0,0.0,50.0,38,0
1,3,12.0,0,12,0,0,0,0.0,0.0,36.0,38,0
0,0,14.0,2,9,4,1,1,0.0,0.0,40.0,19,1
1,5,9.0,2,2,4,1,1,0.0,0.0,60.0,38,0
0,3,11.0,2,0,5,1,0,0.0,0.0,35.0,38,0
0,3,10.0,4,11,3,1,1,0.0,0.0,20.0,38,0
1,3,10.0,2,2,4,0,1,0.0,0.0,40.0,38,1
1,4,9.0,2,2,4,1,1,0.0,0.0,40.0,38,0
0,3,10.0,4,11,3,1,0,0.0,0.0,40.0,38,0
0,3,10.0,4,7,3,1,1,0.0,0.0,30.0,25,0
1,3,11.0,4,9,0,1,0,0.0,1564.0,40.0,38,1
1,3,10.0,4,12,2,1,1,0.0,0.0,40.0,38,0
0,3,9.0,4,13,1,0,0,0.0,0.0,30.0,38,0
0,3,10.0,2,7,4,1,1,0.0,0.0,24.0,38,0
0,3,9.0,6,7,1,1,0,0.0,0.0,24.0,38,0
1,3,7.0,2,2,4,1,1,0.0,2179.0,40.0,38,0
1,1,10.0,0,0,1,1,0,0.0,0.0,38.0,25,0
0,3,9.0,4,0,0,1,0,0.0,0.0,40.0,38,0
0,3,13.0,4,3,2,0,0,0.0,0.0,40.0,29,0
0,3,9.0,4,2,3,1,1,0.0,0.0,35.0,38,0
1,3,9.0,2,2,4,1,1,0.0,0.0,46.0,38,0
0,3,13.0,4,5,0,1,1,0.0,0.0,40.0,38,0
1,5,10.0,5,11,1,0,1,0.0,1816.0,2.0,38,0
0,3,9.0,0,2,0,1,1,0.0,0.0,60.0,38,0
1,3,13.0,5,7,2,0,1,0.0,0.0,50.0,38,0
0,3,9.0,4,7,1,1,0,0.0,0.0,40.0,38,0
1,4,14.0,0,3,1,0,0,0.0,0.0,40.0,38,0
0,3,9.0,4,3,0,0,0,0.0,0.0,40.0,8,0
1,5,14.0,2,11,4,1,1,0.0,0.0,40.0,38,1
0,3,10.0,0,7,1,1,0,0.0,0.0,40.0,25,0
0,0,12.0,4,3,0,1,1,0.0,0.0,42.0,38,0
1,6,14.0,6,10,1,1,1,0.0,0.0,40.0,38,0
0,3,7.0,4,5,3,1,1,0.0,0.0,16.0,38,0
1,1,11.0,6,9,0,1,0,0.0,0.0,20.0,38,0
0,3,9.0,4,7,0,1,1,0.0,1980.0,40.0,38,0
0,6,9.0,2,10,4,1,1,0.0,0.0,40.0,38,0
1,3,10.0,2,11,4,1,1,0.0,1977.0,40.0,38,1
0,3,13.0,4,2,0,1,1,0.0,0.0,50.0,38,0
0,6,13.0,2,9,4,1,1,0.0,0.0,40.0,38,1
0,3,9.0,3,11,1,1,0,0.0,0.0,25.0,38,0
0,3,9.0,4,2,3,0,1,0.0,0.0,40.0,38,0
0,3,9.0,4,5,0,0,1,0.0,0.0,40.0,38,0
0,3,9.0,4,7,3,1,1,0.0,0.0,12.0,38,0
0,3,13.0,2,9,4,1,1,0.0,0.0,65.0,38,0
1,1,10.0,2,3,4,0,1,0.0,0.0,38.0,38,1
1,3,10.0,0,0,0,1,0,0.0,0.0,40.0,38,0
0,3,10.0,4,2,0,0,1,0.0,0.0,45.0,38,0
1,3,4.0,2,6,4,1,1,0.0,0.0,40.0,25,1
0,0,10.0,2,0,4,1,1,0.0,0.0,42.0,38,1
0,3,9.0,2,0,4,0,1,0.0,0.0,40.0,38,0
1,5,13.0,0,3,0,1,0,0.0,0.0,40.0,38,0
0,3,14.0,2,9,5,1,0,0.0,0.0,50.0,38,0
1,6,16.0,2,9,4,1,1,0.0,0.0,1.0,38,1
0,3,10.0,0,6,0,0,0,0.0,0.0,28.0,38,0
0,3,10.0,2,6,4,1,1,0.0,0.0,40.0,38,0
1,1,13.0,2,2,4,0,1,0.0,0.0,40.0,38,0
1,3,10.0,2,12,4,1,1,0.0,0.0,45.0,38,0
1,0,13.0,2,12,4,1,1,0.0,0.0,24.0,38,0
0,3,3.0,2,13,2,1,1,0.0,0.0,40.0,25,0
0,3,10.0,0,2,0,1,1,0.0,0.0,40.0,38,0
1,0,14.0,4,3,0,1,0,14084.0,0.0,55.0,38,1
0,3,14.0,2,9,2,1,1,7298.0,0.0,40.0,38,1
0,5,9.0,4,11,0,1,1,0.0,0.0,40.0,38,0
0,3,14.0,4,9,0,1,0,0.0,1876.0,40.0,38,0
1,3,13.0,2,3,4,1,1,0.0,0.0,50.0,38,1
1,1,10.0,4,9,0,1,0,0.0,1340.0,40.0,38,0
0,6,9.0,0,0,1,1,0,0.0,0.0,35.0,38,0
0,3,7.0,4,11,3,1,0,0.0,0.0,40.0,38,0
0,3,13.0,2,7,4,0,1,7298.0,0.0,36.0,38,1
0,3,9.0,0,2,0,1,1,0.0,0.0,60.0,38,0
1,4,9.0,2,11,5,1,0,15024.0,0.0,35.0,38,1
0,3,7.0,4,11,3,1,0,0.0,0.0,12.0,38,0
1,1,9.0,2,13,4,0,1,0.0,0.0,40.0,38,0
0,3,9.0,2,2,4,1,1,0.0,0.0,40.0,38,1
0,3,10.0,4,11,0,0,0,0.0,0.0,40.0,38,0
1,3,9.0,2,2,4,0,1,0.0,0.0,40.0,38,0
1,4,4.0,2,6,4,1,1,0.0,0.0,40.0,38,1
0,3,13.0,4,3,0,0,1,0.0,0.0,60.0,38,1
1,3,12.0,0,11,0,1,0,0.0,0.0,40.0,38,0
0,3,13.0,2,11,4,1,1,0.0,0.0,50.0,30,0
1,3,13.0,2,9,4,1,1,0.0,0.0,55.0,38,0
0,3,6.0,4,2,0,1,1,0.0,0.0,40.0,38,0
0,3,10.0,2,5,4,1,1,0.0,0.0,40.0,38,0
1,3,9.0,4,7,0,0,1,0.0,2206.0,40.0,38,0
1,3,9.0,2,0,4,0,1,0.0,0.0,20.0,38,0
1,1,1.0,4,6,0,1,0,0.0,0.0,35.0,38,0
0,3,9.0,4,11,3,1,0,0.0,0.0,40.0,38,0
1,5,9.0,2,4,4,1,1,1409.0,0.0,50.0,38,0
1,3,11.0,6,0,0,1,0,0.0,0.0,20.0,3,0
1,3,9.0,0,0,0,1,0,0.0,0.0,40.0,38,0
0,3,7.0,5,13,0,0,1,3674.0,0.0,40.0,38,0
1,3,9.0,0,11,1,0,0,0.0,0.0,38.0,38,0
0,3,10.0,4,0,0,1,1,0.0,0.0,42.0,38,0
0,3,10.0,0,2,2,0,0,0.0,0.0,40.0,38,0
0,3,15.0,4,9,0,1,1,0.0,0.0,55.0,38,1
1,6,9.0,2,7,4,1,1,0.0,0.0,40.0,38,0
1,6,10.0,4,0,0,1,0,0.0,0.0,38.0,38,0
1,3,13.0,2,3,4,1,1,0.0,0.0,50.0,19,1
0,1,14.0,2,3,4,1,1,0.0,0.0,70.0,38,1
0,3,9.0,4,13,3,1,1,0.0,0.0,40.0,38,0
1,3,13.0,2,9,4,1,1,0.0,0.0,40.0,38,1
1,5,9.0,2,7,5,1,0,0.0,0.0,20.0,38,0
0,6,12.0,2,10,4,1,1,0.0,0.0,50.0,38,0
0,3,10.0,0,2,0,1,1,0.0,1741.0,40.0,38,0
1,3,9.0,2,0,4,1,1,0.0,0.0,45.0,38,1
0,3,9.0,4,7,0,1,0,0.0,0.0,34.0,38,0
1,3,12.0,2,12,4,1,1,0.0,1977.0,60.0,38,1
1,3,15.0,2,9,5,1,0,0.0,0.0,40.0,38,1
1,3,13.0,2,0,5,0,0,0.0,0.0,40.0,38,0
1,1,6.0,6,7,1,0,0,0.0,0.0,30.0,38,0
0,1,10.0,4,0,3,1,1,0.0,0.0,40.0,38,0
1,3,10.0,4,13,0,1,1,0.0,0.0,20.0,38,0
1,5,9.0,2,4,4,0,1,0.0,0.0,40.0,0,1
0,3,9.0,4,7,3,1,0,0.0,0.0,40.0,38,0
0,3,9.0,5,7,0,1,0,0.0,0.0,30.0,38,0
1,3,11.0,6,3,0,1,0,0.0,0.0,45.0,38,0
1,3,4.0,0,2,0,1,1,0.0,0.0,40.0,38,0
0,3,13.0,0,9,3,1,0,0.0,0.0,40.0,38,0
1,3,9.0,2,11,4,1,1,0.0,0.0,60.0,38,0
0,3,7.0,4,7,3,1,1,0.0,0.0,12.0,38,0
1,3,10.0,2,11,4,1,1,4064.0,0.0,40.0,38,0
0,3,7.0,2,2,4,1,1,0.0,0.0,40.0,38,0
0,4,10.0,2,3,4,0,1,0.0,0.0,75.0,36,1
1,3,9.0,2,3,4,1,1,0.0,0.0,40.0,38,1
0,3,13.0,4,9,0,1,0,0.0,0.0,45.0,38,0
0,3,9.0,2,2,5,1,0,0.0,0.0,40.0,38,1
1,3,9.0,2,3,4,1,1,0.0,0.0,40.0,38,1
0,3,5.0,4,7,3,1,1,1055.0,0.0,24.0,38,0
1,5,14.0,2,4,4,1,1,2407.0,0.0,98.0,38,0
0,1,14.0,4,9,3,1,1,0.0,0.0,35.0,38,0
0,3,9.0,0,9,3,1,0,0.0,0.0,40.0,38,0
1,3,9.0,2,5,4,0,1,0.0,0.0,40.0,38,0
1,3,10.0,2,2,4,1,1,7298.0,0.0,40.0,38,1
0,3,10.0,4,3,0,1,0,0.0,0.0,40.0,38,0
0,3,10.0,4,12,3,1,0,0.0,0.0,40.0,38,0
0,3,10.0,2,6,5,1,0,7298.0,0.0,48.0,38,1
0,3,13.0,4,9,0,1,0,0.0,0.0,15.0,10,0
1,1,10.0,2,2,4,1,1,5178.0,0.0,40.0,38,1
0,3,12.0,0,11,1,0,0,0.0,0.0,45.0,38,0
1,3,13.0,0,9,0,1,0,0.0,0.0,42.0,38,0
0,3,9.0,4,5,3,1,1,0.0,0.0,40.0,38,0
1,0,14.0,2,11,4,1,1,15024.0,0.0,40.0,38,1
1,3,15.0,2,9,4,1,1,0.0,0.0,60.0,38,1
1,3,10.0,0,7,0,1,1,0.0,0.0,45.0,38,0
0,3,13.0,4,3,0,1,0,0.0,0.0,40.0,38,0
1,3,4.0,2,2,4,1,1,0.0,0.0,40.0,6,0
0,3,13.0,2,9,4,1,1,0.0,0.0,45.0,38,0
0,3,9.0,0,9,0,1,0,0.0,0.0,40.0,38,0
0,1,13.0,4,10,0,1,1,0.0,0.0,56.0,38,0
0,3,10.0,4,11,3,1,1,0.0,0.0,45.0,38,0
0,3,13.0,4,12,1,0,0,0.0,0.0,40.0,38,0
1,3,9.0,2,13,4,1,1,0.0,0.0,16.0,38,0
0,4,13.0,0,11,0,1,0,0.0,0.0,60.0,38,0
0,3,9.0,4,2,3,1,1,0.0,0.0,40.0,38,0
0,3,9.0,0,11,0,1,1,0.0,0.0,80.0,38,0
1,3,13.0,2,0,4,1,1,7688.0,0.0,40.0,38,1
0,3,10.0,4,7,0,0,0,0.0,0.0,25.0,38,0
0,3,9.0,2,13,4,1,1,0.0,0.0,45.0,38,1
1,3,9.0,2,11,4,1,1,4386.0,0.0,40.0,38,1
0,3,10.0,2,0,5,0,0,0.0,0.0,40.0,24,0
1,3,9.0,0,0,0,1,0,0.0,0.0,40.0,38,0
0,3,12.0,4,12,0,1,1,0.0,0.0,45.0,38,0
1,3,12.0,4,9,0,1,0,0.0,0.0,33.0,38,0
0,3,12.0,2,0,4,1,1,0.0,0.0,40.0,38,1
1,4,10.0,2,4,4,1,1,0.0,0.0,54.0,38,1
0,3,13.0,4,11,0,1,1,0.0,0.0,40.0,38,0
0,3,14.0,2,3,4,0,1,7298.0,0.0,35.0,35,1
0,5,13.0,0,9,0,0,0,0.0,0.0,40.0,38,1
0,3,10.0,4,11,3,1,1,0.0,0.0,15.0,38,0
0,3,10.0,4,6,0,1,1,0.0,0.0,40.0,38,0
1,5,10.0,2,11,4,1,1,0.0,0.0,40.0,38,0
0,3,3.0,2,6,2,1,0,0.0,0.0,40.0,25,0
0,3,10.0,4,12,0,1,0,0.0,0.0,40.0,38,0
1,3,9.0,6,7,0,1,0,0.0,0.0,24.0,38,0
0,5,9.0,2,3,4,1,1,0.0,0.0,40.0,38,0
1,3,10.0,2,2,4,1,1,0.0,1485.0,50.0,38,0
0,3,9.0,0,13,0,1,1,0.0,0.0,45.0,38,0
0,3,7.0,4,3,0,1,0,0.0,0.0,40.0,38,0
1,5,14.0,2,2,4,1,1,0.0,0.0,10.0,38,0
1,5,9.0,2,4,4,1,1,0.0,0.0,45.0,38,0
1,3,10.0,2,9,5,1,0,0.0,1887.0,50.0,38,1
1,5,9.0,2,5,4,1,1,0.0,0.0,40.0,38,0
1,3,9.0,4,13,0,1,1,2050.0,0.0,55.0,38,0
1,3,10.0,4,2,0,0,1,0.0,0.0,45.0,38,0
0,3,13.0,4,0,0,1,1,0.0,0.0,40.0,38,0
1,3,11.0,4,7,0,1,1,0.0,0.0,40.0,38,0
1,1,6.0,2,0,4,1,1,0.0,0.0,40.0,38,0
1,3,9.0,2,13,4,1,1,0.0,0.0,40.0,38,0
0,3,3.0,4,7,2,1,1,0.0,0.0,48.0,25,0
0,3,9.0,4,2,2,1,1,0.0,0.0,40.0,38,0
1,3,14.0,4,9,0,1,1,0.0,0.0,60.0,38,0
0,3,9.0,4,11,1,0,1,0.0,0.0,30.0,13,0
1,3,9.0,2,7,4,0,1,0.0,0.0,40.0,38,0
0,3,12.0,4,11,0,1,1,0.0,0.0,40.0,38,0
0,3,11.0,2,2,4,1,1,7298.0,0.0,40.0,38,1
0,6,9.0,2,10,4,1,1,7298.0,0.0,40.0,38,1
0,3,9.0,4,4,0,1,1,0.0,0.0,20.0,38,0
0,6,10.0,4,10,3,0,0,0.0,0.0,40.0,38,0
1,5,13.0,4,11,0,1,1,0.0,0.0,42.0,38,0
1,3,12.0,3,7,0,1,1,0.0,0.0,25.0,19,0
0,3,13.0,4,9,3,1,1,0.0,0.0,25.0,38,0
0,3,13.0,2,3,4,1,1,0.0,0.0,40.0,38,1
0,3,9.0,2,7,4,1,1,0.0,0.0,40.0,38,0
0,3,13.0,2,3,4,1,1,0.0,0.0,40.0,38,1
1,1,7.0,2,13,4,1,1,0.0,0.0,30.0,38,0
0,0,9.0,2,0,4,1,1,0.0,0.0,40.0,38,1
1,3,7.0,6,7,1,0,1,0.0,0.0,40.0,38,0
1,3,11.0,2,12,4,1,1,0.0,0.0,40.0,38,1
1,3,9.0,2,0,5,1,0,0.0,0.0,35.0,38,0
0,5,5.0,2,2,4,1,1,0.0,0.0,40.0,31,0
0,3,6.0,2,7,5,1,0,0.0,0.0,24.0,38,0
1,3,14.0,2,9,4,1,1,0.0,0.0,40.0,38,1
1,3,13.0,2,13,4,1,1,0.0,0.0,45.0,38,0
1,3,13.0,0,3,0,1,1,0.0,1564.0,45.0,38,1
0,3,9.0,3,11,0,1,1,0.0,0.0,55.0,38,0
0,3,9.0,2,2,4,1,1,0.0,0.0,40.0,38,0
1,5,10.0,2,11,4,1,1,0.0,0.0,45.0,38,0
0,3,12.0,4,11,0,1,0,0.0,0.0,15.0,38,0
1,3,13.0,0,3,0,1,0,0.0,0.0,45.0,38,1
0,3,9.0,0,11,1,1,0,0.0,0.0,40.0,38,0
0,0,10.0,4,0,1,1,0,0.0,0.0,15.0,38,0
0,3,7.0,4,7,3,1,1,0.0,0.0,10.0,38,0
1,6,11.0,2,6,4,1,1,0.0,0.0,38.0,38,1
1,3,9.0,2,6,4,0,1,0.0,0.0,40.0,38,0
1,3,9.0,4,2,0,0,1,0.0,0.0,40.0,38,0
0,1,10.0,4,0,3,1,0,0.0,0.0,10.0,38,0
0,3,9.0,2,2,5,1,0,0.0,0.0,40.0,38,0
0,3,10.0,4,11,0,1,1,0.0,0.0,40.0,38,0
1,5,14.0,0,3,0,1,1,0.0,0.0,30.0,38,0
0,3,9.0,2,11,4,1,1,0.0,0.0,50.0,38,0
1,3,9.0,0,13,0,1,1,0.0,0.0,40.0,38,0
1,3,3.0,0,2,0,1,0,0.0,2339.0,45.0,38,0
0,3,10.0,2,2,4,1,1,0.0,0.0,40.0,38,0
1,3,10.0,0,11,0,1,0,0.0,0.0,40.0,38,0
0,1,10.0,2,13,5,1,0,0.0,0.0,40.0,38,0
0,3,9.0,4,7,0,1,0,0.0,0.0,25.0,38,0
0,3,9.0,5,6,0,1,1,0.0,0.0,40.0,38,0
1,3,10.0,2,0,5,1,0,0.0,2415.0,6.0,38,1
0,3,10.0,4,0,3,1,0,0.0,0.0,16.0,38,0
0,3,9.0,4,7,2,1,0,0.0,0.0,40.0,38,0
0,3,9.0,2,7,5,1,0,0.0,0.0,40.0,38,1
0,3,13.0,4,2,0,1,1,0.0,0.0,50.0,38,0
1,5,12.0,5,2,0,1,1,0.0,0.0,40.0,38,0
0,3,9.0,4,7,0,1,0,0.0,0.0,35.0,38,0
1,3,10.0,2,12,4,1,1,0.0,0.0,40.0,38,0
1,3,10.0,0,5,1,1,0,0.0,0.0,40.0,38,0
0,3,13.0,2,3,4,1,1,0.0,0.0,55.0,38,1
1,4,13.0,2,3,4,1,1,0.0,0.0,50.0,38,1
0,3,10.0,4,5,3,1,1,0.0,0.0,40.0,38,0
0,3,10.0,4,7,0,1,0,0.0,0.0,40.0,38,0
1,6,13.0,2,10,4,1,1,0.0,0.0,40.0,38,1
0,3,11.0,0,12,0,1,0,0.0,0.0,64.0,38,0
0,3,4.0,2,5,4,0,1,0.0,2179.0,40.0,32,0
1,3,14.0,2,3,4,1,1,0.0,1977.0,65.0,38,1
0,3,9.0,2,0,4,1,1,0.0,0.0,40.0,38,0
1,5,9.0,2,2,4,1,1,0.0,0.0,25.0,38,0
0,3,10.0,2,3,4,1,1,0.0,0.0,50.0,38,0
1,1,10.0,0,7,0,0,0,0.0,0.0,24.0,38,0
0,3,9.0,4,5,1,0,0,0.0,0.0,40.0,38,0
0,3,10.0,0,3,1,1,0,0.0,0.0,40.0,38,0
1,3,16.0,2,3,4,1,1,15024.0,0.0,60.0,38,1
0,6,10.0,2,6,4,1,1,0.0,0.0,40.0,38,0
0,3,8.0,0,2,0,1,1,0.0,0.0,50.0,38,1
1,3,2.0,2,6,4,1,1,0.0,0.0,40.0,25,0
0,3,7.0,4,7,3,1,0,0.0,0.0,19.0,38,0
0,1,7.0,5,6,0,0,1,0.0,0.0,40.0,38,0
0,6,9.0,0,13,1,1,0,0.0,0.0,40.0,38,0
0,3,10.0,2,11,4,1,1,0.0,0.0,30.0,38,0
0,3,7.0,4,5,3,1,1,2176.0,0.0,18.0,38,0
0,6,13.0,2,3,5,1,0,0.0,0.0,40.0,38,1
0,3,9.0,0,4,0,1,1,0.0,0.0,40.0,38,0
0,3,6.0,4,2,1,1,0,0.0,0.0,35.0,38,0
0,3,9.0,2,13,4,1,1,0.0,0.0,60.0,38,0
0,0,14.0,4,9,0,1,1,0.0,1408.0,40.0,38,0
0,3,9.0,4,5,0,1,1,0.0,0.0,72.0,5,0
1,4,9.0,2,3,4,1,1,0.0,0.0,40.0,38,1
1,1,14.0,2,9,4,1,1,0.0,0.0,40.0,38,0
1,5,13.0,3,9,0,1,0,2174.0,0.0,40.0,38,0
0,3,12.0,2,7,5,1,0,0.0,0.0,25.0,38,1
0,3,10.0,4,2,3,0,1,0.0,1980.0,40.0,29,0
0,3,14.0,2,9,4,1,1,0.0,0.0,50.0,38,1
0,1,9.0,4,4,0,0,1,594.0,0.0,60.0,38,0
0,1,10.0,4,10,0,1,0,0.0,0.0,40.0,38,0
